Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Axial_L5.1mm_D3.1mm_P15.00mm_Horizontal,1,C,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90",Diode_DO-35,90,D,
J1,OLED_128x32,1,OLED_128x32,
"L1, L10, L11, L12, L13, L14, L15, L16, L17, L18, L19, L2, L20, L21, L22, L23, L24, L25, L26, L27, L28, L29, L3, L30, L31, L32, L33, L34, L35, L36, L37, L38, L39, L4, L40, L41, L42, L43, L44, L45, L46, L47, L48, L49, L5, L50, L51, L52, L53, L54, L55, L56, L57, L58, L59, L6, L60, L61, L62, L63, L64, L65, L66, L67, L68, L69, L7, L70, L71, L72, L73, L74, L75, L76, L77, L78, L79, L8, L80, L81, L82, L83, L84, L85, L86, L87, L88, L89, L9, L90",LED_SK6812MINI,90,SK6812MINI,
"R1, R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,R,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW32, SW33, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW48, SW49, SW5, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW6, SW60, SW61, SW63, SW64, SW66, SW67, SW68, SW69, SW7, SW70, SW71, SW72, SW73, SW74, SW75, SW77, SW78, SW79, SW8, SW84, SW85, SW86, SW87, SW88, SW89, SW9, SW90",Hotswap_MX_1.00u,78,SW_Push,
SW17,Encoder_EC11_MX_Combo_1,1,RotaryEncoder_Switch,
SW31,Hotswap_MX_2.00u,1,SW_Push,
"SW34, SW47",Hotswap_MX_1.50u,2,SW_Push,
"SW50, SW76",Hotswap_MX_1.75u,2,SW_Push,
"SW62, SW65",Hotswap_MX_2.25u,2,SW_Push,
"SW80, SW81, SW82",Hotswap_MX_1.25u,3,SW_Push,
SW83,Hotswap_MX_6.25u,1,SW_Push,
U1,Raspberry_Pi_Pico,1,Raspberry_Pi_Pico,
