Designator,Mid X,Mid Y,Rotation,Layer
C1,328.0,-34.2,180.0,top
D1,47.525,-59.215,90.0,bottom
D10,218.975,-59.215,90.0,bottom
D11,238.025,-59.215,90.0,bottom
D12,257.075,-59.215,90.0,bottom
D13,276.125,-59.215,90.0,bottom
D14,295.175,-59.215,90.0,bottom
D15,314.225,-59.215,90.0,bottom
D16,333.275,-59.215,90.0,bottom
D17,352.825,-59.215,90.0,bottom
D18,47.525,-78.265,90.0,bottom
D19,66.575,-78.265,90.0,bottom
D2,66.575,-59.215,90.0,bottom
D20,85.625,-78.265,90.0,bottom
D21,104.675,-78.265,90.0,bottom
D22,123.725,-78.265,90.0,bottom
D23,142.775,-78.265,90.0,bottom
D24,161.825,-78.265,90.0,bottom
D25,180.875,-78.265,90.0,bottom
D26,199.925,-78.265,90.0,bottom
D27,218.975,-78.265,90.0,bottom
D28,238.025,-78.265,90.0,bottom
D29,257.075,-78.265,90.0,bottom
D3,85.625,-59.215,90.0,bottom
D30,276.125,-78.265,90.0,bottom
D31,304.7,-78.265,90.0,bottom
D32,333.275,-78.265,90.0,bottom
D33,352.325,-78.265,90.0,bottom
D34,52.2875,-97.315,90.0,bottom
D35,76.1,-97.315,90.0,bottom
D36,95.15,-97.315,90.0,bottom
D37,114.2,-97.315,90.0,bottom
D38,133.25,-97.315,90.0,bottom
D39,152.3,-97.315,90.0,bottom
D4,104.675,-59.215,90.0,bottom
D40,171.35,-97.315,90.0,bottom
D41,190.4,-97.315,90.0,bottom
D42,209.45,-97.315,90.0,bottom
D43,228.5,-97.315,90.0,bottom
D44,247.55,-97.315,90.0,bottom
D45,266.6,-97.315,90.0,bottom
D46,285.65,-97.315,90.0,bottom
D47,309.4625,-97.315,90.0,bottom
D48,333.275,-97.315,90.0,bottom
D49,352.325,-97.315,90.0,bottom
D5,123.725,-59.215,90.0,bottom
D50,54.66875,-116.365,90.0,bottom
D51,80.8625,-116.365,90.0,bottom
D52,99.9125,-116.365,90.0,bottom
D53,118.9625,-116.365,90.0,bottom
D54,138.0125,-116.365,90.0,bottom
D55,157.0625,-116.365,90.0,bottom
D56,176.1125,-116.365,90.0,bottom
D57,195.1625,-116.365,90.0,bottom
